カテゴリ,シナリオ名,目的,完了条件1,完了条件2,完了条件3
基礎,自己紹介と役割の整理,プロジェクト初期にチームの関係性と役割を明確にする,各メンバーの役割や担当を整理する,PMとしての立ち位置と役割を明確に伝える,今後の進め方や連絡方法を共有する
基礎,アジェンダを設定してミーティングを進行,ミーティングを目的志向で進行できるようにする,ミーティングの目的を1文で定義する,アジェンダと時間配分を設定する,次のアクションを決めて会議を締める
基礎,既存資料の軽微な修正,資料を読み手に伝わる形に整える,資料の目的と対象読者を整理する,分かりにくい表現や構成を修正する,資料で何が伝わるかを説明できるようにする
基礎,議事メモの作成と共有,チーム内の認識を揃え情報を残す,決定事項と未決事項を整理する,次のアクションと担当者を明記する,チーム全体に共有する
基礎,スケジュール感の共有,プロジェクト全体の見通しを与える,プロジェクトの大まかな流れを説明する,重要なマイルストーンを共有する,今すぐ決めなくてよい点を明確にする
基礎,不明点の洗い出し,曖昧な前提を可視化し次の行動につなげる,不明点や未決事項をリストアップする,確認すべき相手を整理する,確認の優先度を決める
チャレンジ,要件が曖昧な依頼への対応,曖昧な要求を具体的なタスクに落とし込む力を身につける,成功条件を言語化する,仮のスコープとやらないことを定義する,次の具体的アクションを決める
チャレンジ,エンジニアから「無理です」と言われる,制約を理解し現実的な計画を立てる力を養う,厳しい理由を構造的に整理する,代替案を複数検討する,合意した対応方針を明文化する
チャレンジ,ステークホルダーとの認識ズレ解消,期待値調整と合意形成の基本を学ぶ,ズレているポイントを特定する,共通認識を簡潔に再整理する,再発防止の確認プロセスを定義する
チャレンジ,リリース期限の突然の前倒し,外部圧力下での意思決定と説明力を鍛える,影響範囲を洗い出す,複数の選択肢を提示する,決定内容と理由を合意する
チャレンジ,進捗が見えない状況への対応,状況把握とリスク察知の力を養う,最小限の方法で進捗を可視化する,潜在的なリスクを特定する,次の確認タイミングを設定する
チャレンジ,ユーザー視点が抜けていることへの気づき,機能ではなく価値に立ち返る思考を身につける,ユーザー行動フローで課題を整理する,最小限の改善案を提案する,今対応すべき理由を説明し合意を取る
